dataset,feature,model,use_topo,accuracy,f1_macro,recall,auc
politifact,profile,gcn,False,0.7919,0.7899,0.7452,0.8385
politifact,profile,gcn,False,0.7692,0.7665,0.8597,0.8536
politifact,profile,gcn,False,0.7828,0.7814,0.8603,0.8427
politifact,profile,gcn,True,0.7873,0.7859,0.7615,0.8435
politifact,profile,gcn,True,0.7738,0.7718,0.7874,0.8401
politifact,profile,gcn,True,0.7557,0.7533,0.7004,0.8465
politifact,profile,sage,False,0.7873,0.7855,0.7578,0.8337
politifact,profile,sage,False,0.7376,0.7302,0.8779,0.8293
politifact,profile,sage,False,0.7919,0.791,0.8337,0.8471
politifact,profile,sage,True,0.7195,0.7175,0.7319,0.7997
politifact,profile,sage,True,0.724,0.7183,0.8688,0.8199
politifact,profile,sage,True,0.7692,0.768,0.7666,0.851
politifact,bert,gcn,False,0.8416,0.8409,0.8083,0.8922
politifact,bert,gcn,False,0.8281,0.8263,0.9068,0.918
politifact,bert,gcn,False,0.7828,0.7823,0.8352,0.8591
politifact,bert,gcn,True,0.8235,0.8231,0.7957,0.8837
politifact,bert,gcn,True,0.7421,0.7286,0.9639,0.9199
politifact,bert,gcn,True,0.733,0.7304,0.6578,0.8219
politifact,bert,sage,False,0.8371,0.8363,0.8083,0.8937
politifact,bert,sage,False,0.8054,0.8041,0.8317,0.9048
politifact,bert,sage,False,0.7828,0.7819,0.7944,0.8555
politifact,bert,sage,True,0.7511,0.743,0.5939,0.8943
politifact,bert,sage,True,0.7511,0.7374,0.9729,0.9141
politifact,bert,sage,True,0.5566,0.4686,0.9822,0.8441
gossipcop,profile,gcn,False,0.8649,0.8632,0.7982,0.9432
gossipcop,profile,gcn,False,0.8599,0.8573,0.7714,0.9451
gossipcop,profile,gcn,False,0.8717,0.8693,0.8062,0.9487
gossipcop,profile,gcn,True,0.8806,0.879,0.9118,0.9499
gossipcop,profile,gcn,True,0.8868,0.8854,0.8384,0.952
gossipcop,profile,gcn,True,0.8785,0.8763,0.8432,0.9478
gossipcop,profile,sage,False,0.9124,0.9113,0.9581,0.9759
gossipcop,profile,sage,False,0.9036,0.9023,0.8509,0.9752
gossipcop,profile,sage,False,0.9289,0.9276,0.9197,0.9801
gossipcop,profile,sage,True,0.8988,0.897,0.9754,0.9747
gossipcop,profile,sage,True,0.9273,0.9265,0.9344,0.9782
gossipcop,profile,sage,True,0.9179,0.9163,0.9553,0.978
gossipcop,bert,gcn,False,0.9334,0.9324,0.9026,0.9772
gossipcop,bert,gcn,False,0.9462,0.9454,0.9661,0.9688
gossipcop,bert,gcn,False,0.8406,0.8347,0.9881,0.9775
gossipcop,bert,gcn,True,0.8625,0.8589,0.7474,0.9706
gossipcop,bert,gcn,True,0.7394,0.718,0.9889,0.9484
gossipcop,bert,gcn,True,0.9318,0.9304,0.9576,0.9798
gossipcop,bert,sage,False,0.9564,0.9559,0.9505,0.9798
gossipcop,bert,sage,False,0.9514,0.9507,0.976,0.9706
gossipcop,bert,sage,False,0.9592,0.9585,0.9792,0.9886
gossipcop,bert,sage,True,0.9511,0.9505,0.9801,0.983
gossipcop,bert,sage,True,0.9433,0.9425,0.9822,0.9843
gossipcop,bert,sage,True,0.9624,0.9617,0.9667,0.9883
